[12340:21056:0201/141326.048:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[12740:18408:0201/142404.259:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #999).
[12740:18408:0201/142404.324:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1002).
[12740:18408:0201/142404.391:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1005).
[12740:18408:0201/142404.457:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1008).
[12740:18408:0201/142404.525:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1011).
[12740:18408:0201/142404.640:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.658:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.673:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.691:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.707:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.724:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.740:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.757:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.773:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.790:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.808:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.823:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.839:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.858:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.874:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.891:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.908:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.924:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142404.942:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1017).
[12740:18408:0201/142405.008:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.023:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.040:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.057:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.073:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.089:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.107:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.124:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.140:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.157:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.173:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.190:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.207:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.223:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.240:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.257:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.274:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1020).
[12740:18408:0201/142405.324:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.341:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.358:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.374:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.390:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.407:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.422:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.439:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.456:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.473:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.491:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.507:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.523:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.541:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.557:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.573:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.591:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.607:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1022).
[12740:18408:0201/142405.674:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.690:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.707:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.723:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.740:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.758:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.774:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.790:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.806:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.822:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.844:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.858:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.873:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.892:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.910:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.931:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1025).
[12740:18408:0201/142405.979:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142405.994:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.009:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.026:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.056:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.084:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.100:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.116:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.131:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.147:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.162:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.177:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.193:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.208:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.224:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.240:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.270:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.272:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1027).
[12740:18408:0201/142406.348:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.365:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.380:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.396:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.411:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.427:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.442:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.458:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.474:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.489:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.519:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.522:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.551:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.567:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.582:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.598:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.612:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1030).
[12740:18408:0201/142406.660:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.676:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.692:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.708:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.724:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.739:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.770:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.772:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.802:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.817:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.833:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.847:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.863:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.879:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.895:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.909:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.925:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142406.939:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1032).
[12740:18408:0201/142407.006:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.031:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.047:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.063:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.078:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.094:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.110:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.125:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.140:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.155:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.172:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.203:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.205:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.232:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.246:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.263:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1035).
[12740:18408:0201/142407.324:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.339:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.370:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.372:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.401:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.417:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.433:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.449:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.465:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.480:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.496:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.511:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.527:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.542:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.559:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.573:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12740:18408:0201/142407.589:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1038).
[12340:17640:0201/142407.605:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00007DFC001DA540}, {new_limit=23})
[12740:18408:0201/142407.667:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.682:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.688:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.713:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.727:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.744:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.759:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.774:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.791:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.806:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.823:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.854:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.856:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.884:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.899:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.914:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.930:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1041).
[12740:18408:0201/142407.978:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142407.993:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.010:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.026:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.042:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.057:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.072:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.104:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.106:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.136:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.151:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.167:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.182:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.198:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.214:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.229:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.245:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.262:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1043).
[12740:18408:0201/142408.324:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.338:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.370:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.374:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.401:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.417:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.431:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.446:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.462:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.478:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.493:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.509:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.525:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.540:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.556:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.587:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.590:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1046).
[12740:18408:0201/142408.648:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1048).
[12740:18408:0201/142408.664:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #1048).
